user_id,group,landing_page,time_spent_on_the_page,converted,language_preferred
546400,treatment,new,6.0,yes,Spanish
546401,treatment,new,8.3,yes,Spanish
546402,treatment,new,7.43,yes,Spanish
546403,treatment,new,6.89,yes,Spanish
546404,treatment,new,5.12,yes,Spanish
546405,treatment,new,5.12,yes,Spanish
546406,treatment,new,4.73,yes,Spanish
546407,treatment,new,7.96,yes,Spanish
546408,treatment,new,6.9,yes,Spanish
546409,treatment,new,7.33,yes,Spanish
546410,treatment,new,4.58,yes,Spanish
546411,treatment,new,8.38,yes,Spanish
546412,treatment,new,4.91,no,Spanish
546413,treatment,new,2.74,no,Spanish
546414,treatment,new,2.64,no,Spanish
546415,treatment,new,2.64,no,Spanish
546416,treatment,new,3.06,no,Spanish
546417,treatment,new,3.84,no,Spanish
546418,control,old,4.51,yes,Spanish
546419,control,old,4.02,yes,Spanish
546420,control,old,5.14,yes,Spanish
546421,control,old,3.49,yes,Spanish
546422,control,old,4.02,yes,Spanish
546423,control,old,4.28,yes,Spanish
546424,control,old,2.87,no,Spanish
546425,control,old,3.86,no,Spanish
546426,control,old,2.1,no,Spanish
546427,control,old,3.04,no,Spanish
546428,control,old,3.28,no,Spanish
546429,control,old,1.64,no,Spanish
546430,control,old,3.32,no,Spanish
546431,control,old,2.01,no,Spanish
546432,control,old,1.7,no,Spanish
546433,control,old,4.35,no,Spanish
546434,treatment,new,8.36,yes,French
546435,treatment,new,7.73,yes,French
546436,treatment,new,5.72,yes,French
546437,treatment,new,4.89,yes,French
546438,treatment,new,7.24,yes,French
546439,treatment,new,6.26,yes,French
546440,treatment,new,4.99,yes,French
546441,treatment,new,6.48,yes,French
546442,treatment,new,4.64,yes,French
546443,treatment,new,8.14,yes,French
546444,treatment,new,2.91,no,French
546445,treatment,new,4.32,no,French
546446,treatment,new,3.09,no,French
546447,treatment,new,3.82,no,French
546448,treatment,new,3.91,no,French
546449,treatment,new,2.65,no,French
546450,control,old,6.39,yes,French
546451,control,old,5.71,yes,French
546452,control,old,6.29,yes,French
546453,control,old,6.13,yes,French
546454,control,old,5.09,yes,French
546455,control,old,4.27,no,French
546456,control,old,1.77,no,French
546457,control,old,2.09,no,French
546458,control,old,1.64,no,French
546459,control,old,2.48,no,French
546460,control,old,2.67,no,French
546461,control,old,2.31,no,French
546462,control,old,3.99,no,French
546463,control,old,2.57,no,French
546464,control,old,2.34,no,French
546465,control,old,3.13,no,French
546466,control,old,1.92,no,French
546467,control,old,3.91,no,French
546468,treatment,new,4.8,yes,English
546469,treatment,new,8.45,yes,English
546470,treatment,new,7.59,yes,English
546471,treatment,new,5.29,yes,English
546472,treatment,new,4.52,yes,English
546473,treatment,new,7.76,yes,English
546474,treatment,new,7.33,yes,English
546475,treatment,new,7.42,yes,English
546476,treatment,new,7.59,yes,English
546477,treatment,new,4.8,yes,English
546478,treatment,new,5.93,yes,English
546479,treatment,new,2.41,no,English
546480,treatment,new,5.02,no,English
546481,treatment,new,4.18,no,English
546482,treatment,new,3.16,no,English
546483,treatment,new,2.22,no,English
546484,control,old,4.09,yes,English
546485,control,old,4.14,yes,English
546486,control,old,5.55,yes,English
546487,control,old,5.23,yes,English
546488,control,old,6.11,yes,English
546489,control,old,4.65,yes,English
546490,control,old,3.42,yes,English
546491,control,old,5.5,yes,English
546492,control,old,5.66,yes,English
546493,control,old,4.96,yes,English
546494,control,old,3.81,no,English
546495,control,old,2.98,no,English
546496,control,old,3.07,no,English
546497,control,old,2.78,no,English
546498,control,old,1.58,no,English
546499,control,old,1.82,no,English
